作者姓名,作品标题,类型
骆宾王,咏鹅,诗
汉乐府,江南,诗
王维,画,诗
李绅,悯农（其二）,诗
李白,古朗月行（节选）,诗
李峤,风,诗
孟浩然,春晓,诗
李白,赠汪伦,诗
李白,静夜思,诗
贾岛,寻隐者不遇,诗
白居易,池上,诗
杨万里,小池,诗
唐寅,画鸡,诗
王安石,梅花,诗
胡令能,小儿垂钓,诗
王之涣,登鹳雀楼,诗
李白,望庐山瀑布,诗
柳宗元,江雪,诗
李白,夜宿山寺,诗
北朝民歌,敕勒歌,诗
高鼎,村居,诗
贺知章,咏柳,诗
白居易,赋得古原草送别（节选）,诗
杨万里,晓出净慈寺送林子方,诗
杜甫,绝句,诗
李绅,悯农（其一）,诗
查慎行,舟夜书所见,诗
袁枚,所见,诗
杜牧,山行,诗
苏轼,赠刘景文,诗
叶绍翁,夜书所见,诗
李白,望天门山,诗
苏轼,饮湖上初晴后雨,诗
刘禹锡,望洞庭,诗
李白,早发白帝城,诗
王昌龄,采莲曲,诗
佚名,司马光,文言文
杜甫,绝句,诗
苏轼,惠崇春江晚景,诗
曾几,三衢道中,诗
白居易,忆江南,词
王安石,元日,诗
杜牧,清明,诗
王维,九月九日忆山东兄弟,诗
韦应物,滁州西涧,诗
白居易,大林寺桃花,诗
佚名,守株待兔,文言文
刘禹锡,浪淘沙,诗
王维,鹿柴,诗
白居易,暮江吟,诗
苏轼,题西林壁,诗
卢钺,雪梅,诗
李商隐,嫦娥,诗
王昌龄,出塞,诗
王翰,凉州词,诗
李清照,夏日绝句,诗
高适,别董大,诗
佚名,精卫填海,文言文
刘义庆,王戎不取道旁李,文言文
范成大,四时田园杂兴（其二十五）,诗
杨万里,宿新市徐公店,诗
辛弃疾,清平乐·村居,词
毛泽东,卜算子·咏梅,词
杜甫,江畔独步寻花,诗
罗隐,蜂,诗
李白,独坐敬亭山,诗
王昌龄,芙蓉楼送辛渐,诗
卢纶,塞下曲,诗
王冕,墨梅,诗
佚名,囊萤夜读,文言文
佚名,铁杵成针,文言文
虞世南,蝉,诗
林杰,乞巧,诗
陆游,示儿,诗
林升,题临安邸,诗
龚自珍,己亥杂诗,诗
王维,山居秋暝,诗
张继,枫桥夜泊,诗
纳兰性德,长相思,词
张志和,渔歌子,词
朱熹,观书有感（其一）,诗
朱熹,观书有感（其二）,诗
梁启超,少年中国说（节选）,文言文
佚名,古人谈读书,文言文
范成大,四时田园杂兴（其三十一）,诗
杨万里,稚子弄冰,诗
雷震,村晚,诗
孟郊,游子吟,诗
王维,鸟鸣涧,诗
王昌龄,从军行,诗
陆游,秋夜将晓出篱门迎凉有感,诗
杜甫,闻官军收河南河北,诗
王之涣,凉州词,诗
李白,黄鹤楼送孟浩然之广陵,诗
翁卷,乡村四月,诗
佚名,自相矛盾,文言文
刘义庆,杨氏之子,文言文
孟浩然,宿建德江,诗
苏轼,六月二十七日望湖楼醉书,诗
辛弃疾,西江月·夜行黄沙道中,词
佚名,伯牙鼓琴,文言文
苏轼,书戴嵩画牛,文言文
刘禹锡,浪淘沙,诗
杜牧,江南春,诗
王安石,书湖阴先生壁,诗
贺知章,回乡偶书,诗
孟浩然,过故人庄,诗
毛泽东,七律·长征,诗
朱熹,春日,诗
佚名,诗经·采薇（节选）,诗
王维,送元二使安西,诗
杜甫,春夜喜雨,诗
韩愈,早春呈水部张十八员外,诗
范仲淹,江上渔者,诗
王安石,泊船瓜洲,诗
叶绍翁,游园不值,诗
王观,卜算子·送鲍浩然之浙东,词
苏轼,浣溪沙·游蕲水清泉寺,词
黄庭坚,清平乐·春归何处,词
佚名,学弈,文言文
列子,两小儿辩日,文言文
曹操,观沧海,诗
李白,闻王昌龄左迁龙标遥有此寄,诗
王湾,次北固山下,诗
马致远,天净沙·秋思,词
佚名,咏雪,文言文
佚名,陈太丘与友期,文言文
集体,论语十二章,文言文
诸葛亮,诫子书,文言文
蒲松龄,狼,文言文
吕不韦,穿井得一人,文言文
列子,杞人忧天,文言文
李白,峨眉山月歌,诗
杜甫,江南逢李龟年,诗
岑参,行军九日思长安故园,诗
李益,夜上受降城闻笛,诗
刘禹锡,秋词（其一）,诗
李商隐,夜雨寄北,诗
陆游,十一月四日风雨大作（其二）,诗
谭嗣同,潼关,诗
佚名,木兰诗,诗
欧阳修,卖油翁,文言文
刘禹锡,陋室铭,文言文
周敦颐,爱莲说,文言文
王维,竹里馆,诗
李白,春夜洛城闻笛,诗
岑参,逢入京使,诗
韩愈,晚春,诗
陈子昂,登幽州台歌,诗
杜甫,望岳,诗
王安石,登飞来峰,诗
陆游,游山西村,诗
龚自珍,己亥杂诗（其五）,诗
杜牧,泊秦淮,诗
李商隐,贾生,诗
杨万里,过松源晨炊漆公店（其五）,诗
赵师秀,约客,诗
郦道元,三峡,文言文
陶弘景,答谢中书书,文言文
苏轼,记承天寺夜游,文言文
吴均,与朱元思书,文言文
佚名,野望,诗
崔颢,黄鹤楼,诗
王维,使至塞上,诗
李白,渡荆门送别,诗
白居易,钱塘湖春行,诗
佚名,庭中有奇树,诗
曹操,龟虽寿,诗
刘桢,赠从弟（其二）,诗
曹植,梁甫行,诗
孟子,得道多助失道寡助,文言文
孟子,富贵不能淫,文言文
孟子,生于忧患死于安乐,文言文
列子,愚公移山,文言文
司马迁,周亚夫军细柳,文言文
陶渊明,饮酒（其五）,诗
杜甫,春望,诗
李贺,雁门太守行,诗
杜牧,赤壁,诗
李清照,渔家傲·天接云涛连晓雾,词
晏殊,浣溪沙·一曲新词酒一杯,词
欧阳修,采桑子·轻舟短棹西湖好,词
朱敦儒,相见欢·金陵城上西楼,词
李清照,如梦令·常记溪亭日暮,词
佚名,关雎,诗
佚名,蒹葭,诗
王勃,送杜少府之任蜀州,诗
孟浩然,望洞庭湖赠张丞相,诗
庄子,北冥有鱼,文言文
庄子,庄子与惠子游于濠梁之上,文言文
佚名,虽有嘉肴,文言文
佚名,大道之行也,文言文
韩愈,马说,文言文
杜甫,石壕吏,诗
白居易,卖炭翁,诗
常建,题破山寺后禅院,诗
李白,送友人,诗
苏轼,卜算子·黄州定慧院寓居作,词
陆游,卜算子·咏梅,词
李白,行路难（其一）,诗
